Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gibson, Carl H.",MAE 5 - Quantitative Computer Skills (A),WI16,54,30,70.40%,74.10%,5.46,B+ (3.67),B+ (3.55)
"Van Den Einde, Yael Dahlia",MAE 7 - Spatial Visualization (A),WI16,12,11,100.00%,100.00%,0.68,A (4.00),N/A
"Van Den Einde, Yael Dahlia",MAE 7 - Spatial Visualization (B),WI16,10,9,88.90%,100.00%,1.17,A (4.00),N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (C),WI16,16,10,77.80%,100.00%,1.61,N/A,N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (E),WI16,8,7,100.00%,100.00%,2.21,A (4.00),N/A
"Goddard, Joe D",MAE 8 - MATLAB Program for Engr Analys (A),WI16,134,68,68.30%,9.50%,9.67,B (3.20),C+ (2.58)
"McKittrick, Joanna M",MAE 87 - Freshman Seminar (A),WI16,10,8,100.00%,71.40%,0.5,A (4.00),N/A
"Krasheninnikov, Sergei",MAE 101A - Introductory Fluid Mechanics (B),FA15,69,27,88.50%,30.80%,5.78,B (3.19),C+ (2.64)
"Coimbra, Carlos F.",MAE 101C - Heat Transfer (A),FA15,150,56,82.70%,75.00%,7.38,B (3.08),C+ (2.56)
"Del Alamo, Juan Carlos",MAE 104 - Aerodynamics (A),FA15,66,21,100.00%,90.50%,6.31,B (3.24),C+ (2.53)
"Saintillan, David",MAE 105 - Intro To Mathematical Physics (A),FA15,141,65,74.20%,96.80%,7.72,B (3.22),B- (2.99)
"McEneaney, William Michael",MAE 107 - Computational Methods/Engineer (A),FA15,182,57,91.10%,94.60%,6.54,B+ (3.53),B (3.29)
"Rangamani, Padmini",MAE 110A - Thermodynamics (A),FA15,139,115,90.40%,86.10%,8.17,B (3.26),B- (2.78)
"Pawlak, Geno Ronald",MAE 122 - Flow & Transport/Environment (A),FA15,83,33,74.20%,64.50%,8.69,B- (2.83),B- (2.99)
"Van Den Einde, Yael Dahlia",MAE 130A - Mechanics I: Statics (A),FA15,70,43,87.80%,78.00%,8.85,B (3.26),C+ (2.68)
"Murakami, Hidenori",MAE 130C - Mechanics III: Vibrations (A),FA15,48,15,92.90%,64.30%,7.12,B+ (3.38),B (3.15)
