Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Sangha, Luvreet Singh",MATH 102 - Applied Linear Algebra (A),S216,130,25,84.20%,63.20%,9.17,B+ (3.50),N/A
"Chow, Bennett",MATH 109 - Mathematical Reasoning (A),S216,83,17,100.00%,85.70%,8.19,B+ (3.50),B- (2.74)
"Eggers, John Dietrich",MATH 109 - Mathematical Reasoning (B),S216,22,12,80.00%,50.00%,8.94,B (3.00),B (3.01)
"Barrese, Kenneth William",MATH 10A - Calculus I (A),S216,29,15,100.00%,100.00%,7.36,B (3.00),B- (2.92)
"Rotar, Vladimir",MATH 10B - Calculus II (A),S216,38,26,88.50%,92.30%,7.5,B (3.08),B (3.01)
"Smith, Daniel Edward",MATH 10C - Calculus III (A),S216,83,79,88.60%,89.90%,6.86,B (3.25),B (3.03)
"Snellman Jr., Robert Allen",MATH 120A - Elements of Complex Analysis (A),S216,47,14,100.00%,92.30%,8.81,B+ (3.31),C+ (2.55)
"Sun, Hui",MATH 142B - Introduction to Analysis II (A),S216,49,13,76.90%,92.30%,10.65,B (3.00),B- (2.78)
"Haff, Leonard R.",MATH 168A - Topics/Applied Math-Comp Sci (A),S216,43,16,93.30%,93.30%,10.9,B (3.27),B (3.06)
"Rotar, Vladimir",MATH 193B - Actuarial Mathematics II (A),S216,42,30,100.00%,96.60%,10.43,B+ (3.69),B+ (3.50)
"Bach, Quang Tran",MATH 20A - Calculus/Science & Engineering (A),S216,27,18,94.40%,83.30%,7.39,B+ (3.33),B (3.29)
"Chow, Bennett",MATH 20B - Calculus/Science & Engineering (A),S216,62,25,87.50%,45.80%,10.59,B+ (3.38),B- (2.85)
"Bodnar, Michelle Elizabeth",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A),S216,121,47,93.50%,89.10%,8.54,B (3.24),C+ (2.33)
"Li, Xiaolong",MATH 20D - Intro/Differential Equations (A),S216,123,66,93.90%,95.50%,7.58,A- (3.78),B+ (3.47)
"Preskitt, Brian Patrick",MATH 20E - Vector Calculus (A),S216,94,31,78.60%,85.70%,10.14,B+ (3.46),B- (2.84)
"Eggers, John Dietrich",MATH 20E - Vector Calculus (B),S216,22,9,87.50%,100.00%,10.75,B- (2.75),B (3.16)
"Harel, Guershon",MATH 20F - Linear Algebra (A),S216,131,35,94.10%,79.40%,9.35,B+ (3.41),C+ (2.48)
"Kim, Yeon Kyung",MATH 3C - Precalculus (A),S216,15,3,100.00%,100.00%,3.17,B+ (3.33),N/A
"Sangha, Luvreet Singh",MATH 3C - Precalculus (B),S216,28,13,91.70%,83.30%,12.67,C+ (2.55),C+ (2.31)
"Harel, Guershon",MATH 4C - Pre-calculus for Sci & Engn (A),S216,17,11,90.00%,70.00%,9.5,B (3.18),N/A
"Popescu, Cristian D.",MATH 104A - Number Theory I (A),S116,26,7,71.40%,85.70%,9.93,B (3.29),B (3.23)
"Chow, Bennett",MATH 109 - Mathematical Reasoning (A),S116,133,34,93.50%,74.20%,8.1,B+ (3.45),B (3.23)
"Stevens, Laura Jeanne",MATH 10A - Calculus I (A),S116,48,24,91.70%,95.80%,8.08,B+ (3.30),C+ (2.55)
"Rotar, Vladimir",MATH 10B - Calculus II (A),S116,54,39,84.60%,97.40%,8.88,B+ (3.31),B (3.27)
"Oliver, Jesus R",MATH 110A - Intro/Partial Differ Equations (A),S116,86,17,81.30%,93.80%,7.93,B+ (3.50),B- (2.92)
"Oliver, Jesus R",MATH 142A - Introduction to Analysis I (A),S116,125,31,86.20%,96.60%,8.17,A- (3.70),B (3.00)
"Haff, Leonard R.",MATH 168A - Topics/Applied Math-Comp Sci (A),S116,40,11,90.90%,100.00%,7.05,B+ (3.56),B (3.21)
"Rotar, Vladimir",MATH 193A - Actuarial Mathematics I (A),S116,75,54,92.50%,81.10%,9.44,B+ (3.55),B+ (3.38)
"Chow, Bennett",MATH 20A - Calculus/Science & Engineering (A),S116,28,9,100.00%,100.00%,8.21,A- (3.71),B+ (3.43)
"Rideout, David Porter",MATH 20B - Calculus/Science & Engineering (A),S116,53,37,81.10%,78.40%,9.42,B (3.03),B- (2.84)
