Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S216,66,40,89.50%,94.70%,6.61,B+ (3.56),N/A
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),S216,26,19,100.00%,88.20%,8.63,B+ (3.35),B+ (3.52)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),S216,51,23,89.50%,52.60%,8.82,B+ (3.65),B (3.27)
"Gupta, Anjum",CSE 7 - Intro Programming MATLAB (A),S216,45,27,88.00%,88.00%,7.92,A- (3.76),B+ (3.47)
"Paturi, Ramamohan",CSE 101 - Design & Analysis of Algorithm (A),S116,43,16,100.00%,93.80%,10.88,B (3.19),B- (2.84)
"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S116,36,14,91.70%,91.70%,6.17,A- (3.80),B- (3.00)
"Yen, Dorothy",CSE 12 - Basic Data Struct & OO Design (A),S116,46,37,97.30%,86.50%,11.53,B+ (3.58),B- (2.76)
"Chu, Isaac Y",CSE 132A - Database System Principles (A),S116,90,18,100.00%,100.00%,6.38,B+ (3.65),B+ (3.40)
"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),S116,34,8,100.00%,100.00%,12.25,B- (2.75),B (3.26)
"Tseng, Hung-Wei",CSE 141 - Intro/Computer Architecture (A),S116,93,28,92.60%,96.30%,8.5,B (3.30),B+ (3.37)
"Tseng, Hung-Wei",CSE 141L - Project/Computer Architecture (A),S116,95,23,73.70%,94.70%,13.17,B+ (3.68),B+ (3.57)
"Saul, Lawrence",CSE 150 - Int Artif Intell:Search&Reason (A),S116,58,40,97.50%,97.50%,10.14,B (3.25),B (3.06)
"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),S116,45,20,77.80%,70.60%,6.26,A- (3.72),B+ (3.33)
"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),S116,56,18,77.80%,88.20%,6.26,A- (3.72),B+ (3.33)
"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A),S116,70,58,100.00%,93.10%,11.43,B+ (3.69),B+ (3.40)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),S116,44,15,90.00%,70.00%,7.3,B+ (3.44),B (3.20)
"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (A),SP16,192,165,92.10%,86.60%,10.79,B (3.23),B- (2.70)
"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (B),SP16,194,160,97.50%,97.50%,11.34,B (3.10),B- (2.70)
"Kane, Daniel Mertz",CSE 101 - Design & Analysis of Algorithm (A),SP16,53,33,90.60%,90.60%,8.7,B (3.21),B (3.13)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (B),SP16,196,71,94.10%,82.40%,7.17,B (3.21),B (3.15)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (C),SP16,196,78,83.10%,85.90%,7.18,B (3.17),B (3.15)
"Ferrante, Jeanne",CSE 105 - Intro/Theory of Computation (A),SP16,215,86,82.70%,96.30%,9.03,B (3.11),B- (2.82)
"Minnes Kemp, Mor Mia",CSE 105 - Intro/Theory of Computation (B),SP16,213,85,82.10%,97.40%,9.29,B (3.10),B- (2.76)
"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP16,123,36,93.30%,90.00%,9.12,B (3.27),B (3.01)
"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP16,199,71,87.00%,87.00%,10.38,B+ (3.67),B+ (3.36)
"Griswold, William G.",CSE 110 - Software Engineering (B),SP16,301,204,84.10%,60.70%,9.13,B+ (3.36),B- (2.94)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SP16,183,96,92.20%,86.70%,12.66,B+ (3.56),B (3.17)
"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (B),SP16,157,75,95.70%,91.30%,11.57,B+ (3.42),B (3.05)
"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (C),SP16,241,116,95.70%,87.80%,11.08,B+ (3.41),B (3.05)
