Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Amaro, Rommie E",CHEM 185 - Intro/Computational Chemistry (A),SP16,15,6,25.00%,75.00%,10.5,B- (2.75),N/A
"Walker, Ross Charles",CHEM 185 - Intro/Computational Chemistry (A),SP16,17,6,25.00%,50.00%,10.5,B- (2.75),N/A
"Bussey, Thomas J",CHEM 188 - Capstone Sem in Science Eductn (A),SP16,5,4,100.00%,100.00%,4,A- (3.75),N/A
"Tezcan, Faik",CHEM 6A - General Chemistry I (A),SP16,108,43,85.00%,67.50%,6.19,B (3.08),C+ (2.54)
"Fisher, Kaitlin Mallory",CHEM 6B - General Chemistry II (A),SP16,350,173,94.10%,98.80%,7.11,B (3.23),B (3.20)
"Fisher, Kaitlin Mallory",CHEM 6B - General Chemistry II (B),SP16,185,87,91.80%,98.80%,6.55,B (3.17),B (3.20)
"Hoeger, Carl",CHEM 6C - General Chemistry III (A),SP16,197,94,93.30%,84.30%,6.91,B (3.26),B- (2.88)
"Brydges, Stacey",CHEM 6C - General Chemistry III (B),SP16,356,169,92.90%,95.50%,6.7,B (3.21),B (3.20)
"Johnson, Christina A",CHEM 6C - General Chemistry III (C),SP16,353,165,86.00%,80.90%,8.14,B- (2.89),B- (2.83)
"Johnson, Christina A",CHEM 6C - General Chemistry III (D),SP16,400,202,87.20%,85.70%,8.25,B- (2.82),B- (2.83)
"Kubiak, Clifford Paul",CHEM 6CH - Honors General Chemistry III (A),SP16,91,44,78.60%,90.50%,6.55,B+ (3.56),B+ (3.54)
"Berniolles, Sandrine",CHEM 7L - General Chemistry Laboratory (A),SP16,273,107,80.60%,92.20%,5.01,B+ (3.41),B (3.03)
"Berniolles, Sandrine",CHEM 7L - General Chemistry Laboratory (B),SP16,273,119,79.60%,83.20%,5.82,B (3.24),B (3.03)
"Brydges, Stacey",CHEM 7LM - General Chemistry Lab - Majors (A),SP16,93,50,95.70%,95.70%,10.85,B+ (3.45),B+ (3.56)
"Doolittle, Russell F.",CHEM 92 - Undergrad Pharmacology Seminar (A),SP16,102,44,84.10%,81.80%,1.45,A (4.00),N/A
"Kummel, Andrew C",CHEM 93 - Cancer Therapeutic/Diagnostic (A),SP16,12,5,100.00%,80.00%,7.7,A- (3.75),N/A
"Bussey, Thomas J",CHEM 96 - Introductn to Teaching Science (A),SP16,10,4,100.00%,100.00%,4,A (4.00),N/A
"Tauber, Michael",CHEM 100A - Analytical Chemistry Lab (A),WI16,57,28,67.90%,64.30%,8.29,B (3.04),B- (2.83)
"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),WI16,21,9,100.00%,88.90%,8.06,B+ (3.33),B (3.13)
"Crowell, John E",CHEM 105A - Physical Chemistry Laboratory (A),WI16,25,14,71.40%,78.60%,11.58,B (3.08),B (3.14)
"Johnson, Christina A",CHEM 109 - Recombinant DNA Laboratory (A),WI16,61,17,81.30%,87.50%,12.5,B+ (3.56),B+ (3.33)
"Bussey, Thomas J",CHEM 114A - Biochemical Structure&Function (A),WI16,91,48,90.90%,93.20%,8.09,B+ (3.30),B- (2.99)
"Komives, Elizabeth A",CHEM 114B - Biochem Energetics&Metabolism (A),WI16,123,66,92.70%,94.50%,7.59,B (3.24),B (3.22)
"Devaraj, Neal Krishna",CHEM 116 - Chemical Biology (A),WI16,12,3,100.00%,100.00%,5.17,B+ (3.67),N/A
"Amaro, Rommie E",CHEM 118 - Pharmacology and Toxicology (A),WI16,97,36,100.00%,97.10%,5.13,B+ (3.40),B+ (3.49)
"Dibrov, Sergey M",CHEM 12 - Molecules and Reactions (A),WI16,152,137,75.00%,78.70%,4.4,B (3.20),C+ (2.64)
"Figueroa, Joshua",CHEM 120A - Inorganic Chemistry I (A),WI16,80,43,87.50%,82.50%,8.24,B- (2.92),B- (2.78)
"Sailor, Michael Joseph",CHEM 120B - Inorganic Chemistry II (A),WI16,43,21,100.00%,100.00%,4.71,B+ (3.50),B+ (3.54)
"Paesani, Francesco",CHEM 126 - Physical Chem: Quantum Mech (A),WI16,130,62,78.90%,94.70%,7.94,B (3.11),B- (2.84)
"Weare, John H.",CHEM 131 - Chem Physics: Stat Thermo I (A),WI16,54,32,53.10%,34.40%,7.47,B- (2.81),B (3.22)
"Bertrand, Guy",CHEM 140A - Organic Chemistry I (A),WI16,376,189,90.60%,97.20%,6.83,B (3.25),B- (2.75)
"Gianneschi, Nathan",CHEM 140A - Organic Chemistry I (B),WI16,272,131,80.00%,62.00%,8.33,B- (2.74),B- (2.78)
"Albizati, Kim F.",CHEM 140B - Organic Chemistry II (A),WI16,407,193,90.90%,97.80%,8.2,B (3.09),B- (2.72)
"Ternansky, Robert J.",CHEM 140B - Organic Chemistry II (B),WI16,196,127,87.00%,87.80%,9.39,B (3.10),C+ (2.68)
"Burkart, Michael D",CHEM 140B - Organic Chemistry II (C),WI16,376,199,87.70%,94.40%,8.56,B (3.10),B- (2.72)
"Weizman, Haim",CHEM 140BH - Honors Organic Chemistry (A),WI16,64,43,93.00%,93.00%,8.31,B+ (3.49),B+ (3.66)
"Godula, Kamil",CHEM 140C - Organic Chemistry III (A),WI16,184,171,87.10%,92.90%,7.36,B (3.09),B- (2.72)
"Gianneschi, Nathan",CHEM 141 - Organic Nanomaterials (A),WI16,3,3,100.00%,100.00%,4.5,B+ (3.33),N/A
